pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,830.6935008757684
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,837.8370481188102
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,844.7455545747616
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,843.6673472590953
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,841.5842668929172
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,831.3546543657444
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,825.8003071096002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,828.850652351542
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,834.2562715788023
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,840.5234881943239
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,841.7686676656098
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,839.6855872994317
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,829.3343051680517
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,824.0819107526511
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,827.3994921006374
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,833.6642568952109
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,840.67300220412
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,840.1965353542167
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,838.090936481057
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,827.739654349677
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,822.4838611452714
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,825.7476363166534
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,831.8970797862329
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,838.7433603950622
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,839.9307710758084
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,837.8476907096303
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,827.1630417770016
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,821.9072485725958
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,827.4405950243528
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,826.2855067139797
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,833.2942520228887
