load_id,date,fold,equipment,distance,actual_rate,lightgbm_prediction,catboost_prediction,ensemble_prediction,absolute_error
TR-043148,2025-10-01,october,Dry Van,2211.8,4001.45,4059.212147984009,4113.90040286258,4086.5562754232947,85.10627542329485
TR-043149,2025-10-01,october,Dry Van,1244.7,2466.25,2507.5698253378646,2465.911543812509,2486.7406845751866,20.490684575186606
TR-043150,2025-10-01,october,Reefer,1083.9,2526.28,2568.353285208226,2601.073623244095,2584.7134542261606,58.43345422616039
TR-043151,2025-10-01,october,Reefer,605.5,1518.22,1573.7907705882992,1545.8879935936213,1559.8393820909603,41.619382090960244
TR-043152,2025-10-01,october,Dry Van,1663.3,2999.76,3107.2472559057082,3135.6405840329353,3121.4439199693215,121.68391996932132
TR-043153,2025-10-01,october,Dry Van,780.4,1704.26,1707.8721145788877,1707.4212917210814,1707.6467031499847,3.386703149984669
TR-043154,2025-10-01,october,Reefer,216.5,605.83,654.5053847869217,641.222868161072,647.8641264739969,42.03412647399682
TR-043155,2025-10-01,october,Dry Van,520.5,1176.88,1172.4764054287973,1169.4271910077432,1170.9517982182701,5.9282017817299675
TR-043156,2025-10-01,october,Dry Van,987.8,1900.8,1919.361106177527,1969.5468980915623,1944.4540021345447,43.654002134544726
TR-043157,2025-10-01,october,Dry Van,945.3,1914.59,1956.6220129157243,1918.2737009290652,1937.4478569223947,22.85785692239483
TR-043158,2025-10-01,october,Reefer,479.1,1223.46,1265.2231414594164,1251.8431440996521,1258.5331427795343,35.07314277953424
TR-043159,2025-10-01,october,Flatbed,857.4,1941.22,2026.554416128024,2065.6840177920367,2046.1192169600304,104.89921696003034
TR-043160,2025-10-01,october,Reefer,917.8,2156.97,2248.7157965758074,2236.039621756574,2242.3777091661905,85.40770916619067
TR-043161,2025-10-01,october,Dry Van,2203.9,4262.62,4274.365160525003,4332.079904379114,4303.222532452059,40.60253245205877
TR-043162,2025-10-01,october,Dry Van,639.4,1430.05,1450.2612387444055,1451.9918793328306,1451.126559038618,21.076559038618143
