load_id,date,fold,equipment,distance,actual_rate,lightgbm_prediction,catboost_prediction,ensemble_prediction,absolute_error
TR-038478,2025-09-01,september,Dry Van,126.8,323.23,332.011946936221,293.346927309698,312.6794371229595,10.550562877040534
TR-038479,2025-09-01,september,Flatbed,540.2,1264.2,1310.8069540954718,1277.2947206982649,1294.0508373968682,29.8508373968682
TR-038480,2025-09-01,september,Dry Van,549.3,1203.42,1172.2391928832874,1187.9090886376948,1180.074140760491,23.345859239509082
TR-038481,2025-09-01,september,Dry Van,689.3,1478.3,1469.0653092048979,1473.931408439274,1471.498358822086,6.801641177914007
TR-038482,2025-09-01,september,Dry Van,1103.7,2311.83,2304.2514172329797,2262.7631709065477,2283.5072940697637,28.322705930236225
TR-038483,2025-09-01,september,Dry Van,1955.5,3527.11,3615.284400961356,3627.0783985374183,3621.1813997493873,94.07139974938718
TR-038484,2025-09-01,september,Dry Van,437.4,1052.15,1020.7269688716799,1029.7922005876862,1025.259584729683,26.890415270317135
TR-038485,2025-09-01,september,Reefer,339.9,907.09,913.4946965413326,933.8275753680748,923.6611359547037,16.571135954703664
TR-038486,2025-09-01,september,Dry Van,71.4,187.49,203.11434808791228,200.45746412615358,201.78590610703293,14.29590610703292
TR-038487,2025-09-01,september,Dry Van,633.8,1347.42,1314.5029456491275,1325.3617222947496,1319.9323339719385,27.48766602806154
TR-038488,2025-09-01,september,Dry Van,2178.1,3913.63,3966.6201320697605,3965.5302407523345,3966.0751864110475,52.445186411047416
TR-038489,2025-09-01,september,Flatbed,549.8,1308.86,1379.475886856998,1363.6398290156005,1371.5578579362991,62.697857936299215
TR-038490,2025-09-01,september,Dry Van,1521.2,2843.97,2892.567697674761,2884.56150378519,2888.5646007299756,44.59460072997581
TR-038491,2025-09-01,september,Dry Van,1702.1,3182.84,3216.817483550145,3182.6909506068723,3199.7542170785086,16.9142170785085
TR-038492,2025-09-01,september,Dry Van,3387.5,6146.13,5867.160904903883,5778.285096707868,5822.723000805876,323.4069991941242
TR-038493,2025-09-01,september,Dry Van,906.5,1846.46,1807.5028314744939,1810.6070627255924,1809.0549471000431,37.4050528999569
TR-038494,2025-09-01,september,Dry Van,291.4,645.51,661.8736500183797,676.1395732401343,669.006611629257,23.496611629257018
TR-038495,2025-09-01,september,Reefer,356.5,956.77,933.1455784757698,928.8757193288384,931.0106489023041,25.759351097695912
TR-038496,2025-09-01,september,Dry Van,1403.9,2570.31,2654.6882346034313,2660.9883009039304,2657.838267753681,87.52826775368112
TR-038497,2025-09-01,september,Flatbed,1336.6,2800.31,2857.4976884771454,2840.552142255235,2849.0249153661903,48.714915366190326
TR-038498,2025-09-01,september,Reefer,1682.4,3540.56,3523.9861283036894,3626.411537269685,3575.1988327866875,34.638832786687544
TR-038499,2025-09-01,september,Reefer,339.8,940.89,931.5382600083376,922.8938182273639,927.2160391178508,13.673960882149231
TR-038500,2025-09-01,september,Reefer,878.3,1965.28,2016.7336860882892,1963.4450695391563,1990.0893778137229,24.809377813722904
TR-038501,2025-09-01,september,Dry Van,261.8,640.92,648.4507747405961,636.4991151688073,642.4749449547016,1.554944954701682
TR-038502,2025-09-01,september,Dry Van,1660.3,3084.4,3132.852916708446,3197.020648814778,3164.936782761612,80.5367827616119
TR-038503,2025-09-01,september,Dry Van,728.9,1518.53,1486.4258680348335,1496.3992115623755,1491.4125397986045,27.117460201395488
TR-038504,2025-09-01,september,Dry Van,428.0,952.96,971.4892524393687,993.5789098567429,982.5340811480557,29.57408114805571
TR-038505,2025-09-01,september,Dry Van,306.7,753.12,762.8511409487926,771.9881747027578,767.4196578257752,14.29965782577517
TR-038506,2025-09-01,september,Dry Van,940.1,1760.57,1776.4318395189966,1770.7731970429704,1773.6025182809835,13.032518280983595
TR-038507,2025-09-01,september,Dry Van,1168.8,2324.24,2383.3182902447566,2358.7268661054222,2371.0225781750896,46.78257817508984
TR-038508,2025-09-01,september,Dry Van,317.6,697.99,722.1983137576734,713.2744176157285,717.736365686701,19.746365686700983
TR-038509,2025-09-01,september,Flatbed,2180.6,4320.99,4374.91264834026,4479.527742795415,4427.220195567837,106.23019556783765
TR-038510,2025-09-01,september,Dry Van,1085.7,2179.31,2207.5000426455795,2142.333022569947,2174.916532607763,4.393467392236744
TR-038511,2025-09-01,september,Dry Van,652.6,1477.25,1427.4104230358998,1445.0392399063799,1436.2248314711399,41.02516852886015
TR-038512,2025-09-01,september,Dry Van,1178.6,2308.35,2300.5632897507917,2283.255394427195,2291.909342088993,16.440657911006838
TR-038513,2025-09-01,september,Reefer,1217.1,2753.14,2691.492209943883,2731.8193968838723,2711.655803413878,41.484196586121925
