slice_type,slice_value,rows,mae,rmse,wape_pct,mape_pct,r2,median_ae,p95_ae
fold,august,4759,90.91566082476335,613.4528152403934,3.8879303352630714,4.235514229930725,0.826985889369896,25.58657943041908,150.38027280186625
fold,october,4853,105.98560122496457,646.3775748508297,4.454952186619192,5.206329472336275,0.8211826917516943,32.11989299413517,154.2446822467618
fold,september,4670,107.04921953341601,617.8295766208589,4.448569464342007,4.307286872568611,0.8355042767185927,33.28923279382525,220.72960072374892
equipment,Dry Van,8060,98.55714443547222,681.05056808013,4.3478914189828375,4.188368790930942,0.7884874224479365,24.522711406490316,139.34705416292996
equipment,Flatbed,2630,104.9760992639132,469.8953839660102,4.320015812903272,5.577275024014612,0.898620252111033,48.587723446566656,229.82907874254917
equipment,Reefer,3592,104.81010095124073,597.4040415433162,4.069743654735094,4.763828807439271,0.8557755547305607,34.493793464806686,199.23156615230369
distance_band,<=500,3120,38.62973656397859,211.81325906059894,4.697741020648127,5.1177626515594214,0.5857124984085322,13.691159674300877,52.84399307510094
distance_band,501-1000,4442,68.63047225694461,371.4828955813723,4.139399828902984,4.908979817590523,0.39640256037800436,24.143370414717197,98.38133179003455
distance_band,1001-2000,4462,132.72258207186147,769.3158344688713,4.446249349911263,4.070531768981009,0.3688778445584695,46.39182146766211,167.86658923940206
distance_band,>2000,2258,190.14442461525576,988.7182053233048,4.026818219963011,4.252585592820158,0.2871983925059971,77.89326270232186,291.417435798804
target_segment,regular_99pct,14139,65.1652652924357,226.5284220312418,2.817725713712921,4.302931585645582,0.9712204248439228,29.94058609216154,160.96562061238453
target_segment,top_1pct_rate,143,3675.2721808468955,5839.093724987244,43.33979977362357,32.86020388070478,-1.5095236323700996,454.8319284496283,12895.697071316932
