feature,lightgbm_gain_share,catboost_importance_share,mean_importance_share
distance,0.5108437059332493,0.180198101061484,0.3455209034973667
distance_log1p,0.0,0.29303365683212723,0.14651682841606362
haversine_miles,0.12003580643061362,0.168213001744386,0.14412440408749982
distance_sqrt,0.026148179674174855,0.26056468230288377,0.14335643098852932
equipment,0.06769243886925501,0.0371150528710541,0.052403745870154554
lane,0.06611131997180211,8.495717002275515e-07,0.03305608477175117
day_of_year,0.05218219112188441,0.004135581608776645,0.028158886365330527
weight_clean,0.046473207708233204,0.008880883980428678,0.027677045844330943
pickup,0.032121268960934216,0.00034554567880745165,0.016233407319870833
delivery,0.030584661083973005,0.00029891574423596644,0.015441788414104485
doy_cos,0.018460575664629157,0.005595325756246957,0.012027950710438058
day_of_week,0.013101501738109101,0.0011005485805874577,0.00710102515934828
delivery_lon,0.0001832252708782841,0.011270623616937862,0.005726924443908073
pickup_lon,0.0002920137975555011,0.010560669802118835,0.005426341799837168
delivery_lat,0.00031177879152050113,0.006490487830698916,0.003401133311109709
pickup_lat,0.0007119232563456224,0.00590791464204665,0.003309918949196136
month,0.005233409314217452,0.0013037827524099881,0.00326859603331372
doy_sin,0.0036584925509519847,0.0016290719415551352,0.00264378224625356
week_of_year,0.0021957242633835077,0.002151106657504408,0.002173415460443958
route_factor,0.0034065551674539894,0.00023181906198774493,0.0018191871147208672
lat_delta,0.0,0.0004296171357044238,0.0002148085678522119
is_weekend,0.00011582311282154085,0.0002679966288969026,0.00019190987085922174
lon_delta,0.00013619731801351693,0.0001884049813735276,0.00016230114969352226
weight_missing,0.0,8.635921604715719e-05,4.3179608023578596e-05
weight_negative,0.0,0.0,0.0
