load_id,date,fold,equipment,distance,actual_rate,lightgbm_prediction,catboost_prediction,ensemble_prediction,absolute_error
TR-043148,2025-10-01,october,Dry Van,2211.8,4001.45,4184.16216407544,4160.412868017092,4172.287516046266,170.8375160462665
TR-043149,2025-10-01,october,Dry Van,1244.7,2466.25,2558.271328740588,2507.288616204174,2532.779972472381,66.5299724723809
TR-043150,2025-10-01,october,Reefer,1083.9,2526.28,2418.0730713074604,2505.5363083350185,2461.8046898212397,64.47531017876054
TR-043151,2025-10-01,october,Reefer,605.5,1518.22,1478.164458793059,1471.9501467402588,1475.057302766659,43.16269723334108
TR-043152,2025-10-01,october,Dry Van,1663.3,2999.76,3236.9423775635705,3212.9902768649217,3224.966327214246,225.2063272142459
TR-043153,2025-10-01,october,Dry Van,780.4,1704.26,1664.9367950521498,1684.108287140683,1674.5225410964163,29.73745890358373
TR-043154,2025-10-01,october,Reefer,216.5,605.83,618.3570485721683,590.6714902592382,604.5142694157032,1.3157305842968299
TR-043155,2025-10-01,october,Dry Van,520.5,1176.88,1141.1682986392107,1143.872827709842,1142.5205631745264,34.35943682547372
TR-043156,2025-10-01,october,Dry Van,987.8,1900.8,1910.7737004720175,1996.130856157613,1953.4522783148152,52.65227831481525
TR-043157,2025-10-01,october,Dry Van,945.3,1914.59,1975.596456841228,1951.35293734808,1963.474697094654,48.88469709465403
TR-043158,2025-10-01,october,Reefer,479.1,1223.46,1199.6698032597544,1172.285259296887,1185.9775312783208,37.4824687216792
TR-043159,2025-10-01,october,Flatbed,857.4,1941.22,1859.2416312556259,1950.589932895361,1904.9157820754936,36.304217924506474
TR-043160,2025-10-01,october,Reefer,917.8,2156.97,2087.8100663832165,2097.193680352531,2092.5018733678735,64.46812663212631
TR-043161,2025-10-01,october,Dry Van,2203.9,4262.62,4356.232842137705,4359.2390539838225,4357.735948060764,95.11594806076391
TR-043162,2025-10-01,october,Dry Van,639.4,1430.05,1412.3716378815236,1408.5028184451476,1410.4372281633355,19.61277183666448
TR-043163,2025-10-01,october,Dry Van,2754.3,4744.55,5045.346913241196,4956.857154517915,5001.102033879555,256.552033879555
TR-043164,2025-10-01,october,Dry Van,931.0,2022.34,1979.3674778846566,1952.802426664603,1966.0849522746298,56.255047725370105
TR-043165,2025-10-01,october,Flatbed,1373.6,2990.31,2932.9560623138173,3033.953217453174,2983.4546398834955,6.855360116504471
TR-043166,2025-10-01,october,Reefer,399.8,982.16,988.2534860172473,939.4976010109281,963.8755435140877,18.2844564859123
TR-043167,2025-10-01,october,Reefer,415.8,1023.56,1034.191202781539,1007.774932599848,1020.9830676906935,2.5769323093064713
TR-043168,2025-10-01,october,Reefer,1278.8,2873.9,2853.997644458957,2882.3887544878608,2868.1931994734086,5.706800526591451
TR-043169,2025-10-01,october,Flatbed,2049.6,4042.16,4408.98576456862,4408.203164889486,4408.594464729053,366.4344647290527
TR-043170,2025-10-01,october,Reefer,246.4,712.29,691.5012684877171,656.9974297126384,674.2493491001778,38.04065089982214
TR-043171,2025-10-01,october,Dry Van,884.2,1794.49,1792.4268787153471,1837.0187266596251,1814.7228026874861,20.232802687486128
TR-043172,2025-10-01,october,Flatbed,3014.7,5589.34,5885.418630775178,5954.579865598724,5919.99924818695,330.6592481869502
TR-043173,2025-10-01,october,Flatbed,998.5,2086.11,2150.060658611174,2161.5863832598275,2155.8235209355007,69.71352093550058
TR-043174,2025-10-01,october,Dry Van,242.5,579.08,581.1826087558718,566.4355154873047,573.8090621215882,5.270937878411814
TR-043175,2025-10-01,october,Dry Van,449.7,974.24,980.9991080407182,987.5267519334943,984.2629299871062,10.022929987106181
TR-043176,2025-10-01,october,Flatbed,282.2,755.24,735.8859165938994,746.965850876788,741.4258837353436,13.814116264656377
TR-043177,2025-10-01,october,Flatbed,884.8,2004.9,1943.8362640607322,1991.3206207177889,1967.5784423892605,37.321557610739546
TR-043178,2025-10-01,october,Dry Van,1022.5,2015.6,1982.7669002798236,2073.174184247293,2027.9705422635584,12.370542263558491
TR-043179,2025-10-01,october,Flatbed,378.6,906.83,934.813118293768,916.0292561340682,925.4211872139181,18.591187213918033
TR-043180,2025-10-01,october,Flatbed,2336.6,4627.89,4865.201645184605,4912.68453740352,4888.9430912940625,261.05309129406214
TR-043181,2025-10-01,october,Dry Van,777.6,1500.39,1554.420188479326,1571.942419416311,1563.1813039478184,62.79130394781828
