load_id,date,fold,equipment,distance,actual_rate,lightgbm_prediction,catboost_prediction,ensemble_prediction,absolute_error
TR-038478,2025-09-01,september,Dry Van,126.8,323.23,328.2191511588616,303.402188328693,315.81066974377734,7.419330256222679
TR-038479,2025-09-01,september,Flatbed,540.2,1264.2,1306.6653005613903,1295.50909044622,1301.087195503805,36.88719550380506
TR-038480,2025-09-01,september,Dry Van,549.3,1203.42,1172.8713508324115,1172.3110821001574,1172.5912164662845,30.828783533715523
TR-038481,2025-09-01,september,Dry Van,689.3,1478.3,1482.631876621773,1462.8760056853062,1472.7539411535395,5.5460588464604825
TR-038482,2025-09-01,september,Dry Van,1103.7,2311.83,2296.0774786984584,2289.147750969719,2292.6126148340886,19.21738516591131
TR-038483,2025-09-01,september,Dry Van,1955.5,3527.11,3635.2826847720385,3583.7253938887884,3609.5040393304134,82.3940393304133
TR-038484,2025-09-01,september,Dry Van,437.4,1052.15,1015.5576482252849,1028.9858979166806,1022.2717730709828,29.878226929017274
TR-038485,2025-09-01,september,Reefer,339.9,907.09,914.1188009996368,924.3742947207265,919.2465478601816,12.156547860181604
TR-038486,2025-09-01,september,Dry Van,71.4,187.49,213.98243495634438,246.38794470244534,230.18518982939486,42.69518982939485
TR-038487,2025-09-01,september,Dry Van,633.8,1347.42,1328.9666446985143,1318.1678042322344,1323.5672244653742,23.852775534625835
TR-038488,2025-09-01,september,Dry Van,2178.1,3913.63,4006.523575018117,3893.044235944206,3949.783905481161,36.15390548116102
TR-038489,2025-09-01,september,Flatbed,549.8,1308.86,1364.2448476466611,1363.8014766976085,1364.0231621721348,55.16316217213489
TR-038490,2025-09-01,september,Dry Van,1521.2,2843.97,2802.432135171876,2881.6104547240548,2842.0212949479655,1.9487050520342564
TR-038491,2025-09-01,september,Dry Van,1702.1,3182.84,3144.7150241825593,3143.083628035011,3143.8993261087853,38.94067389121483
TR-038492,2025-09-01,september,Dry Van,3387.5,6146.13,5859.217353470883,5824.17353105881,5841.695442264847,304.43455773515325
TR-038493,2025-09-01,september,Dry Van,906.5,1846.46,1800.3247336183451,1817.5341767069244,1808.929455162635,37.53054483736514
TR-038494,2025-09-01,september,Dry Van,291.4,645.51,641.3809771732214,678.8186348476522,660.0998060104369,14.58980601043686
TR-038495,2025-09-01,september,Reefer,356.5,956.77,933.5291544522645,915.9453098379363,924.7372321451004,32.03276785489959
TR-038496,2025-09-01,september,Dry Van,1403.9,2570.31,2663.940569781447,2669.969861630189,2666.955215705818,96.64521570581792
TR-038497,2025-09-01,september,Flatbed,1336.6,2800.31,2836.4993215204345,2797.6472047917687,2817.0732631561013,16.763263156101402
TR-038498,2025-09-01,september,Reefer,1682.4,3540.56,3415.192917914803,3617.651197161131,3516.422057537967,24.137942462033152
TR-038499,2025-09-01,september,Reefer,339.8,940.89,928.8166337171717,921.3878696620136,925.1022516895927,15.787748310407324
TR-038500,2025-09-01,september,Reefer,878.3,1965.28,2015.1790314863617,1974.7553739214272,1994.9672027038946,29.687202703894627
TR-038501,2025-09-01,september,Dry Van,261.8,640.92,638.392870761875,637.6019337602786,637.9974022610768,2.922597738923173
TR-038502,2025-09-01,september,Dry Van,1660.3,3084.4,3063.418751893882,3192.8974487291825,3128.1581003115325,43.75810031153242
TR-038503,2025-09-01,september,Dry Van,728.9,1518.53,1487.5238300229523,1509.7886560656223,1498.6562430442873,19.87375695571268
TR-038504,2025-09-01,september,Dry Van,428.0,952.96,947.684646212742,961.4277374975898,954.5561918551659,1.5961918551658982
TR-038505,2025-09-01,september,Dry Van,306.7,753.12,762.8052658302015,766.8021462125621,764.8037060213818,11.683706021381795
TR-038506,2025-09-01,september,Dry Van,940.1,1760.57,1775.8492758849954,1787.9765056551514,1781.9128907700733,21.34289077007338
TR-038507,2025-09-01,september,Dry Van,1168.8,2324.24,2358.717745223471,2370.5191649248973,2364.618455074184,40.37845507418433
TR-038508,2025-09-01,september,Dry Van,317.6,697.99,706.2099588873808,694.6446827918985,700.4273208396396,2.4373208396395967
TR-038509,2025-09-01,september,Flatbed,2180.6,4320.99,4279.40960175219,4314.120483258259,4296.765042505224,24.22495749477548
TR-038510,2025-09-01,september,Dry Van,1085.7,2179.31,2244.7981434977887,2182.999842285558,2213.8989928916735,34.58899289167357
TR-038511,2025-09-01,september,Dry Van,652.6,1477.25,1450.5349757275483,1417.1011126989292,1433.8180442132389,43.43195578676114
TR-038512,2025-09-01,september,Dry Van,1178.6,2308.35,2313.3695198649125,2331.5565447779795,2322.463032321446,14.113032321446099
TR-038513,2025-09-01,september,Reefer,1217.1,2753.14,2624.5673769609284,2667.575919700389,2646.0716483306587,107.06835166934115
TR-038514,2025-09-01,september,Reefer,2318.8,4438.04,4373.733838650557,4511.42916845454,4442.581503552548,4.54150355254842
TR-038515,2025-09-01,september,Dry Van,2104.4,3801.75,3871.0285620696277,3853.707002845611,3862.3677824576193,60.61778245761934
TR-038516,2025-09-01,september,Dry Van,389.3,870.8,853.2642731468999,868.7499972449245,861.0071351959123,9.792864804087685
TR-038517,2025-09-01,september,Flatbed,707.4,1525.42,1519.6047095180274,1530.9655623900317,1525.2851359540296,0.1348640459705166
TR-038518,2025-09-01,september,Dry Van,2043.7,3819.07,3840.3752171998535,3776.9865398502875,3808.6808785250705,10.389121474929652
TR-038519,2025-09-01,september,Dry Van,207.3,533.1,520.4350603038521,579.4632003756869,549.9491303397695,16.84913033976943
TR-038520,2025-09-01,september,Dry Van,215.2,572.08,556.8798839489697,621.8520277353375,589.3659558421537,17.285955842153612
TR-038521,2025-09-01,september,Dry Van,1999.7,3762.42,3770.5498356127255,3778.165058001782,3774.357446807254,11.937446807253764
TR-038522,2025-09-01,september,Dry Van,551.6,1246.71,1252.192712284135,1226.843314906287,1239.518013595211,7.191986404789077
TR-038523,2025-09-01,september,Dry Van,1718.1,3167.45,3177.8553521768386,3202.4720355983955,3190.1636938876172,22.71369388761741
TR-038524,2025-09-01,september,Reefer,627.1,1453.26,1427.756367112775,1435.4371013581326,1431.5967342354538,21.663265764546168
TR-038525,2025-09-01,september,Dry Van,1283.6,2493.1,2495.343854699373,2487.5637971985902,2491.453825948982,1.646174051018079
TR-038526,2025-09-01,september,Flatbed,336.3,890.4,861.5743103936364,876.4772830288821,869.0257967112593,21.37420328874066
TR-038527,2025-09-01,september,Reefer,1205.2,2813.6,2736.9434874420053,2732.296359211672,2734.619923326839,78.98007667316097
TR-038528,2025-09-01,september,Reefer,1190.4,2631.8,2553.211774611217,2566.1486538776826,2559.68021424445,72.11978575555031
TR-038529,2025-09-01,september,Flatbed,1262.1,2767.04,2703.282282626473,2770.3424101386563,2736.8123463825646,30.227653617435408
TR-038530,2025-09-01,september,Dry Van,508.7,1076.48,1086.6630612939255,1064.9200751964752,1075.7915682452003,0.6884317547996943
TR-038531,2025-09-01,september,Dry Van,1215.0,2464.66,2501.9030246797784,2481.923970866942,2491.91349777336,27.253497773360323
TR-038532,2025-09-01,september,Dry Van,1109.8,2139.93,2108.007985575912,2086.899900368003,2097.453942971957,42.47605702804276
TR-038533,2025-09-01,september,Dry Van,374.8,803.35,795.4861261568469,816.7006335306642,806.0933798437555,2.7433798437555197
TR-038534,2025-09-01,september,Dry Van,3234.6,5609.77,5537.295160602394,5528.2315710384555,5532.763365820425,77.00663417957549
TR-038535,2025-09-01,september,Dry Van,1277.5,2462.59,2474.154441892584,2524.845183522471,2499.499812707528,36.909812707527635
TR-038536,2025-09-01,september,Dry Van,432.8,996.39,988.4212892878991,989.0513251014806,988.7363071946899,7.653692805310129
TR-038537,2025-09-01,september,Dry Van,1183.7,2365.84,2344.5509670781003,2360.8683573830904,2352.7096622305953,13.130337769404832
TR-038538,2025-09-01,september,Dry Van,589.4,1244.22,1258.2845425730877,1266.8444313435075,1262.5644869582975,18.344486958297466
TR-038539,2025-09-01,september,Dry Van,2762.3,4972.2,4978.79590322088,4995.488739123548,4987.142321172214,14.942321172214179
TR-038540,2025-09-01,september,Dry Van,179.8,462.1,464.69717107624973,520.3132197803056,492.5051954282777,30.405195428277693
TR-038541,2025-09-01,september,Dry Van,858.6,1752.1,1758.0934449403687,1728.3424046454372,1743.217924792903,8.882075207096932
TR-038542,2025-09-01,september,Reefer,659.2,1532.71,1515.7850069503431,1507.334062559953,1511.559534755148,21.150465244852057
TR-038543,2025-09-01,september,Dry Van,248.5,599.05,604.1185969733649,612.1285240418415,608.1235605076032,9.073560507603247
TR-038544,2025-09-01,september,Dry Van,859.6,1884.4,1868.2022182815158,1787.3157300574344,1827.758974169475,56.641025830524995
TR-038545,2025-09-01,september,Dry Van,1022.5,2099.41,2127.9362425602476,2164.403452009535,2146.169847284891,46.75984728489129
TR-038546,2025-09-01,september,Dry Van,134.8,362.54,345.84208259479624,401.5222646318264,373.6821736133113,11.142173613311286
TR-038547,2025-09-01,september,Flatbed,2248.2,4425.96,4314.207511386722,4291.404809013227,4302.806160199974,123.15383980002571
TR-038548,2025-09-01,september,Reefer,780.5,1674.34,1729.2774772382786,1652.8247201317968,1691.0510986850377,16.71109868503777
TR-038549,2025-09-01,september,Dry Van,613.4,1217.27,1211.2900412720148,1248.6820692092388,1229.9860552406267,12.716055240626702
TR-038550,2025-09-01,september,Dry Van,1125.7,2215.87,2262.933586379633,2238.3948082480824,2250.6641973138576,34.794197313857694
TR-038551,2025-09-01,september,Dry Van,473.7,1081.85,1064.945091227245,1048.3954942772978,1056.6702927522715,25.179707247728402
TR-038552,2025-09-01,september,Dry Van,1247.5,2539.08,2565.6665846324963,2492.524061792944,2529.0953232127204,9.984676787279568
TR-038553,2025-09-01,september,Flatbed,228.0,631.3,611.4071941325262,595.8085025662281,603.6078483493772,27.692151650622804
TR-038554,2025-09-01,september,Dry Van,566.7,1240.32,1261.4276064231108,1254.5843479718171,1258.0059771974638,17.6859771974639
TR-038555,2025-09-01,september,Dry Van,578.3,1195.21,1179.368941557576,1178.894141124622,1179.131541341099,16.078458658901127
TR-038556,2025-09-01,september,Flatbed,171.2,505.53,476.52371180784195,530.5522691607441,503.537990484293,1.9920095157069682
TR-038557,2025-09-01,september,Dry Van,2061.1,3821.49,3855.335803341397,3796.07941230869,3825.7076078250434,4.217607825043615
TR-038558,2025-09-01,september,Reefer,1233.8,2931.77,2848.8881810005846,2887.806448812421,2868.347314906503,63.422685093496966
TR-038559,2025-09-01,september,Dry Van,2575.7,4389.73,4413.128334274558,4378.702788151706,4395.915561213133,6.185561213133042
TR-038560,2025-09-01,september,Flatbed,212.9,572.82,559.2500088877433,573.1124529931315,566.1812309404374,6.638769059562605
TR-038561,2025-09-01,september,Dry Van,2846.6,4825.78,4927.195813404721,5002.015018789399,4964.60541609706,138.82541609706004
TR-038562,2025-09-01,september,Dry Van,2430.3,4468.22,4460.3448383439245,4438.17974501479,4449.262291679357,18.957708320643178
TR-038563,2025-09-01,september,Dry Van,1187.3,2185.71,2198.4150568144787,2232.439896410143,2215.427476612311,29.717476612310747
TR-038564,2025-09-01,september,Dry Van,1163.6,2180.78,2173.9213600633066,2184.9444432325386,2179.4329016479223,1.3470983520778645
